CID,BDATE,GEN
NASAW00011000,06-10-1971,Male
NASAW00011001,10-05-1976,Male
NASAW00011002,09-02-1971,Male
NASAW00011003,14-08-1973,Female
NASAW00011004,05-08-1979,Female
NASAW00011005,01-08-1976,Male
NASAW00011006,02-12-1976,Female
NASAW00011007,06-11-1969,Male
NASAW00011008,04-07-1975,Female
NASAW00011009,29-09-1969,Male
NASAW00011010,05-08-1969,Female
NASAW00011011,03-05-1969,Male
NASAW00011012,14-01-1979,Female
NASAW00011013,03-08-1979,Male
NASAW00011014,06-11-1973,Female
NASAW00011015,26-08-1984,Female
NASAW00011016,25-10-1984,Male
NASAW00011017,24-12-1949,Female
NASAW00011018,06-10-1955,Male
NASAW00011019,04-09-1983,Male
NASAW00011020,19-03-1984,Male
NASAW00011021,02-03-1984,Female
NASAW00011022,10-04-1984,Female
NASAW00011023,09-04-1984,Female
NASAW00011024,16-03-1984,Female
NASAW00011025,22-06-1951,Female
NASAW00011026,01-10-1951,Female
NASAW00011027,05-06-1952,Female
NASAW00011028,09-10-1951,Female
NASAW00011029,19-06-1952,Female
NASAW00011030,18-02-1958,Female
NASAW00011031,18-02-1953,Female
NASAW00011032,08-12-1952,Female
NASAW00011033,19-09-1958,Female
NASAW00011034,16-12-1952,Female
NASAW00011035,23-08-1953,Female
NASAW00011036,16-06-1984,Female
NASAW00011037,27-05-1983,Female
NASAW00011038,20-09-1953,Female
NASAW00011039,16-06-1954,  
NASAW00011040,29-01-1983, 
NASAW00011041,15-04-1983, 
NASAW00011042,11-12-1982,Female
NASAW00011043,23-08-1981,Female
NASAW00011044,21-11-1954,Female
NASAW00011045,16-11-1955,Female
NASAW00011046,19-09-1955,Female
NASAW00011047,27-08-1955,Female
NASAW00011048,21-05-1956,Female
NASAW00011049,15-01-1986,Female
NASAW00011050,06-03-1957,Female
NASAW00011051,31-01-1957,Female
NASAW00011052,03-02-1957,Female
NASAW00011053,17-02-1986,Female
NASAW00011054,07-09-1957,Female
NASAW00011055,02-09-1957,M 
NASAW00011056,01-10-1958,F 
NASAW00011057,07-04-1970,Female
NASAW00011058,23-04-1965,Female
NASAW00011059,29-09-1959,Female
NASAW00011060,14-09-1959,Female
NASAW00011061,20-02-1976,Male
NASAW00011062,01-03-1981,Male
NASAW00011063,04-10-1980,Female
NASAW00011064,05-06-1981,Male
NASAW00011065,08-04-1979,Female
NASAW00011066,27-05-1979,Female
NASAW00011067,25-03-1982,Male
NASAW00011068,19-09-1966,Female
NASAW00011069,17-09-1966,Female
NASAW00011070,02-10-1960,Male
NASAW00011071,23-12-1960,Female
NASAW00011072,05-08-1960,Female
NASAW00011073,11-02-1962,Female
NASAW00011074,25-02-1962,Male
NASAW00011075,16-05-1963,Female
NASAW00011076,10-01-1963,Male
NASAW00011077,19-03-1963,Female
NASAW00011078,06-01-1985,Female
NASAW00011079,07-03-1970,Male
NASAW00011080,13-01-1965,Male
NASAW00011081,21-01-1972,Female
NASAW00011082,01-02-1972,Female
NASAW00011083,11-03-1977,Female
NASAW00011084,12-03-1963,Male
NASAW00011085,16-01-1963,Female
NASAW00011086,22-06-1963,Male
NASAW00011087,02-04-1963,Female
NASAW00011088,25-05-1963,Male
NASAW00011089,05-08-1962,Female
NASAW00011090,13-12-1968,Male
NASAW00011091,02-10-1962,Male
NASAW00011092,02-11-1972,Female
NASAW00011093,06-09-1978,Female
NASAW00011094,29-09-1967,Male
NASAW00011095,29-02-1968,Male
NASAW00011096,07-02-1968,Male
NASAW00011097,23-10-1972,Male
NASAW00011098,29-10-1966,Female
NASAW00011099,05-09-1966,Male
NASAW00011100,15-03-1966,Female
NASAW00011101,05-11-1970,Female
NASAW00011102,19-10-1970,Female
NASAW00011103,12-04-1981,Female
NASAW00011104,08-03-1975,Male
NASAW00011105,27-06-1970,Female
NASAW00011106,11-03-1970,Male
NASAW00011107,04-03-1976,Female
NASAW00011108,10-01-1969,Female
NASAW00011109,30-04-1980,Male
NASAW00011110,04-12-1967,Male
NASAW00011111,23-08-1967,Female
NASAW00011112,08-03-1968,Female
NASAW00011113,17-02-1973,Male
NASAW00011114,25-11-1967,Female
NASAW00011115,12-08-1967,Male
NASAW00011116,02-04-1979,Male
NASAW00011117,21-08-1966,Female
NASAW00011118,31-12-1962,Male
NASAW00011119,07-10-1940,Male
NASAW00011120,06-02-1942,Female
NASAW00011121,18-05-1966,Male
NASAW00011122,30-09-1965,Male
NASAW00011123,18-12-1965,Male
NASAW00011124,23-07-1968,Male
NASAW00011125,06-10-1961,Female
NASAW00011126,05-10-1954,Male
NASAW00011127,19-04-1981,Female
NASAW00011128,03-06-1981,Female
NASAW00011129,01-02-1981,Female
NASAW00011130,05-07-1985,Female
NASAW00011131,09-09-1985,Female
NASAW00011132,25-04-1986,Female
NASAW00011133,08-03-1986,Female
NASAW00011134,22-02-1957,Male
NASAW00011135,02-05-1985,Male
NASAW00011136,24-04-1984,Female
NASAW00011137,17-01-1984,Female
NASAW00011138,14-03-1984,Female
NASAW00011139,05-11-1949,Female
NASAW00011140,11-08-1982,Male
NASAW00011141,19-12-1982,F
NASAW00011142,11-02-1983,M
NASAW00011143,04-08-1982,Male
NASAW00011144,08-03-1985,Male
NASAW00011145,06-06-1985,Female
NASAW00011146,22-02-1945,Female
NASAW00011147,04-08-1944,Male
NASAW00011148,13-02-1947,Male
NASAW00011149,18-10-1946,Male
NASAW00011150,12-09-1946,Male
NASAW00011151,25-08-1947,Female
NASAW00011152,09-07-1981,Male
NASAW00011153,21-12-1981,Female
NASAW00011154,18-02-1982,Female
NASAW00011155,25-07-1981,Male
NASAW00011156,06-08-1981,Female
NASAW00011157,08-12-1980,Female
NASAW00011158,06-04-1981,Male
NASAW00011159,16-03-1981,Female
NASAW00011160,08-07-1979,Male
NASAW00011161,20-10-1979,Female
NASAW00011162,02-09-1979,Male
NASAW00011163,18-06-1980,Male
NASAW00011164,02-11-1979,Male
NASAW00011165,15-01-1979,Female
NASAW00011166,22-10-1977,Female
NASAW00011167,29-01-1978,Female
NASAW00011168,12-11-1973,Male
NASAW00011169,20-12-1973,Male
NASAW00011170,04-08-1973,Female
NASAW00011171,05-10-1978,Male
NASAW00011172,20-05-1973,Female
NASAW00011173,28-02-1973,Female
NASAW00011174,09-01-1973,Male
NASAW00011175,01-09-1968,Male
NASAW00011176,21-01-1979,Male
NASAW00011177,01-01-1948,Male
NASAW00011178,20-08-1954,Male
NASAW00011179,08-12-1959,Female
NASAW00011180,01-07-1948,Female
